Title, Link, Keywords, Data
Punjab power crisis: Govt offices to run from 8 am to 2 pm starting Friday,https://news.google.com/articles/CAIiELHGdalpRVtTU8MuUJ1zraYqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUie2h0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9jaXRpZXMvY2hhbmRpZ2FyaC9wdW5qYWItcG93ZXItY3Jpc2lzLWdvdnQtb2ZmaWNlcy10by1mdW5jdGlvbi1mcm9tLTgtYW0tdG8tMi1wbS03Mzg0OTI0L9IBAA&hl=en-IN&gl=IN&ceid=IN%3Aen,power punjab, 
AAP calls for cancelling PPAs: ‘In 25 yrs  Punjab will end up paying Rs 2.25 lakh cr to private power firms’,https://news.google.com/articles/CAIiEMC5DYWOh0l-6whUevTnk-MqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUiiQFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvY2l0aWVzL2NoYW5kaWdhcmgvYWFwLWNhbmNlbGxpbmctcHBhcy0yNS15cnMtcHVuamFiLXBheWluZy1ycy0yLTI1LWxha2gtY3ItcHJpdmF0ZS1wb3dlci1maXJtcy03MzkwOTQyL9IBAA&hl=en-IN&gl=IN&ceid=IN%3Aen,power punjab, 
Farmers block national highway for 5 hours to protest Punjab’s power crisis,https://news.google.com/articles/CAIiEJLt5vRZLlIGxE-DHNmcbJQqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUihwFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvY2l0aWVzL2NoYW5kaWdhcmgvZmFybWVycy1ibG9jay1uYXRpb25hbC1oaWdod2F5LWZvci01LWhvdXJzLXRvLXByb3Rlc3QtcHVuamFicy1wb3dlci1jcmlzaXMtNzM4NjYwNy_SAQA&hl=en-IN&gl=IN&ceid=IN%3Aen,power punjab paddy, 
In a first  regulator allows BSES to exit power purchase deal with NTPC,https://news.google.com/articles/CAIiECOQMuqKEUDSFcIezCwoPBIqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUiggFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvYnVzaW5lc3MvZWNvbm9teS9pbi1hLWZpcnN0LXJlZ3VsYXRvci1hbGxvd3MtYnNlcy10by1leGl0LXBvd2VyLXB1cmNoYXNlLWRlYWwtd2l0aC1udHBjLTczODY4NTAv0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
BTU: 1 200 customers without power near Rosemary Drive  repair crews on-site,https://news.google.com/articles/CBMiZmh0dHBzOi8vd3d3Lmt4eHYuY29tL2JyYXpvcy9idHUtMS0yMDAtY3VzdG9tZXJzLXdpdGhvdXQtcG93ZXItbmVhci1yb3NlbWFyeS1kcml2ZS1yZXBhaXItY3Jld3Mtb24tc2l0ZdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Will help discoms meet rising power demand: Arvind Kejriwal,https://news.google.com/articles/CAIiEK8dCSM5bYPsbzK8thL2y30qGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUicmh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9jaXRpZXMvZGVsaGkvd2lsbC1oZWxwLWRpc2NvbXMtbWVldC1yaXNpbmctcG93ZXItZGVtYW5kLWFydmluZC1rZWpyaXdhbC03Mzg3OTk3L9IBAA&hl=en-IN&gl=IN&ceid=IN%3Aen,power rising demand, 
Work starts on 5th unit of Kudankulam nuclear plant — a major milestone for power sector,https://news.google.com/articles/CBMihQFodHRwczovL3RoZXByaW50LmluL3RoZXByaW50LWVzc2VudGlhbC93b3JrLXN0YXJ0cy1vbi01dGgtdW5pdC1vZi1rdWRhbmt1bGFtLW51Y2xlYXItcGxhbnQtYS1tYWpvci1taWxlc3RvbmUtZm9yLXBvd2VyLXNlY3Rvci82ODY4ODYv0gGJAWh0dHBzOi8vdGhlcHJpbnQuaW4vdGhlcHJpbnQtZXNzZW50aWFsL3dvcmstc3RhcnRzLW9uLTV0aC11bml0LW9mLWt1ZGFua3VsYW0tbnVjbGVhci1wbGFudC1hLW1ham9yLW1pbGVzdG9uZS1mb3ItcG93ZXItc2VjdG9yLzY4Njg4Ni8_YW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Haryana facing massive power  water crisis  says Hooda day after govt patted own back,https://news.google.com/articles/CAIiEDbzpdhj9559jHJHu44uaqYqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUikAFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvY2l0aWVzL2NoYW5kaWdhcmgvaGFyeWFuYS1mYWNpbmctbWFzc2l2ZS1wb3dlci13YXRlci1jcmlzaXMtc2F5cy1ob29kYS1kYXktYWZ0ZXItZ292dC1wYXR0ZWQtb3duLWJhY2stNzM4ODI1Ny_SAQA&hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
More curbs to save power in Punjab now  compulsory offs for large industry in south and border zones from July 4-7,https://news.google.com/articles/CAIiEOVT67Hu4NVSmISwZzpcXbEqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUirgFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvY2l0aWVzL2NoYW5kaWdhcmgvbW9yZS1jdXJicy10by1zYXZlLXBvd2VyLWluLXB1bmphYi1ub3ctY29tcHVsc29yeS1vZmZzLWZvci1sYXJnZS1pbmR1c3RyeS1pbi1zb3V0aC1hbmQtYm9yZGVyLXpvbmVzLWZyb20tanVseS00LTctNzM4ODE4OC_SAQA&hl=en-IN&gl=IN&ceid=IN%3Aen,power curbs pspcl industrial industry, 
Why on-site renewable energy solutions are in demand,https://news.google.com/articles/CBMibGh0dHBzOi8vd3d3LmpsbC5jb20uYXUvZW4vdHJlbmRzLWFuZC1pbnNpZ2h0cy93b3JrcGxhY2Uvd2h5LW9uLXNpdGUtcmVuZXdhYmxlLWVuZXJneS1zb2x1dGlvbnMtYXJlLWluLWRlbWFuZNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,power demand, 
Andhra Pradesh urges Telangana to stop power generation at hydel projects,https://news.google.com/articles/CAIiEL2F-txr_4VgXcZozckdxfcqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen,power forces agri, 
Indo-Bangla power project set to get first consignment of fuel from Kolkata port: Official,https://news.google.com/articles/CBMioQFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC9vdGhlci1zdGF0ZXMvaW5kby1iYW5nbGEtcG93ZXItcHJvamVjdC1zZXQtdG8tZ2V0LWZpcnN0LWNvbnNpZ25tZW50LW9mLWZ1ZWwtZnJvbS1rb2xrYXRhLXBvcnQtb2ZmaWNpYWwvYXJ0aWNsZTM1MDc4MDM2LmVjZdIBpgFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC9vdGhlci1zdGF0ZXMvaW5kby1iYW5nbGEtcG93ZXItcHJvamVjdC1zZXQtdG8tZ2V0LWZpcnN0LWNvbnNpZ25tZW50LW9mLWZ1ZWwtZnJvbS1rb2xrYXRhLXBvcnQtb2ZmaWNpYWwvYXJ0aWNsZTM1MDc4MDM2LmVjZS9hbXAv?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Waterloo Region opening 'Hockey Hub' mass vaccination clinic  adding 20K appointments this week,https://news.google.com/articles/CBMigwFodHRwczovL2tpdGNoZW5lci5jdHZuZXdzLmNhL3dhdGVybG9vLXJlZ2lvbi1vcGVuaW5nLWhvY2tleS1odWItbWFzcy12YWNjaW5hdGlvbi1jbGluaWMtYWRkaW5nLTIway1hcHBvaW50bWVudHMtdGhpcy13ZWVrLTEuNTQ5NzQxM9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Sukhbir dares Capt to cancel PPAs: ‘Fulfil shortfall at cheaper rates’,https://news.google.com/articles/CAIiECdeS2UPvaC2h0zXyJpnXDoqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUidGh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9jaXRpZXMvY2hhbmRpZ2FyaC9zdWtoYmlyLWNhcHQtY2FuY2VsLXBwYXMtZnVsZmlsLXNob3J0ZmFsbC1jaGVhcGVyLXJhdGVzLTczOTA5NTMv0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen,power units, 
Balewadi-Baner residents face frequent power cuts  MSEDCL blames smart city project,https://news.google.com/articles/CBMilgFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vY2l0aWVzL3B1bmUtbmV3cy9iYWxld2FkaWJhbmVyLXJlc2lkZW50cy1mYWNlLWZyZXF1ZW50LXBvd2VyLWN1dHMtbXNlZGNsLWJsYW1lcy1zbWFydC1jaXR5LXByb2plY3QtMTAxNjI1NDA4NjQzNDU4Lmh0bWzSAZoBaHR0cHM6Ly93d3cuaGluZHVzdGFudGltZXMuY29tL2NpdGllcy9wdW5lLW5ld3MvYmFsZXdhZGliYW5lci1yZXNpZGVudHMtZmFjZS1mcmVxdWVudC1wb3dlci1jdXRzLW1zZWRjbC1ibGFtZXMtc21hcnQtY2l0eS1wcm9qZWN0LTEwMTYyNTQwODY0MzQ1OC1hbXAuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Fragility of power system exposed,https://news.google.com/articles/CBMiQWh0dHBzOi8vd3d3LmRhaWx5ZXhjZWxzaW9yLmNvbS9mcmFnaWxpdHktb2YtcG93ZXItc3lzdGVtLWV4cG9zZWQv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Ecuador races to move oil pipelines  protect power plant from raging river,https://news.google.com/articles/CBMidWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2VuZXJneS9lY3VhZG9yLXJhY2VzLW1vdmUtb2lsLXBpcGVsaW5lcy1wcm90ZWN0LXBvd2VyLXBsYW50LXJhZ2luZy1yaXZlci0yMDIxLTA3LTAxL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Haryana rubs it in: records all-time high power load  minister says no shutdown,https://news.google.com/articles/CAIiEFVI1H8owvkyKJ-7rEAjmY4qGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUiigFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvY2l0aWVzL2NoYW5kaWdhcmgvaGFyeWFuYS1ydWJzLWl0LWluLXJlY29yZHMtYWxsLXRpbWUtaGlnaC1wb3dlci1sb2FkLW1pbmlzdGVyLXNheXMtbm8tc2h1dGRvd24tNzM4NjgwNi_SAQA&hl=en-IN&gl=IN&ceid=IN%3Aen,power paddy, 
NGT: No need to impose environmental compensation for Yelahanka power plant,https://news.google.com/articles/CBMijwFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC9rYXJuYXRha2Evbmd0LW5vLW5lZWQtdG8taW1wb3NlLWVudmlyb25tZW50YWwtY29tcGVuc2F0aW9uLWZvci15ZWxhaGFua2EtcG93ZXItcGxhbnQvYXJ0aWNsZTM1MDQzNjU2LmVjZdIBlAFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC9rYXJuYXRha2Evbmd0LW5vLW5lZWQtdG8taW1wb3NlLWVudmlyb25tZW50YWwtY29tcGVuc2F0aW9uLWZvci15ZWxhaGFua2EtcG93ZXItcGxhbnQvYXJ0aWNsZTM1MDQzNjU2LmVjZS9hbXAv?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Already dirt-cheap  solar panels are about to get even more powerful,https://news.google.com/articles/CBMiSmh0dHBzOi8vd3d3LmphcGFudGltZXMuY28uanAvbmV3cy8yMDIxLzA3LzA2L2J1c2luZXNzL21vcmUtcG93ZXJmdWwtc29sYXIv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Bruce Power inks steam generator deal for Units 3 and 4,https://news.google.com/articles/CBMiaWh0dHBzOi8vd3d3Lm93ZW5zb3VuZHN1bnRpbWVzLmNvbS9uZXdzL2xvY2FsLW5ld3MvYnJ1Y2UtcG93ZXItaW5rcy1zdGVhbS1nZW5lcmF0b3ItZGVhbC1mb3ItdW5pdHMtMy1hbmQtNNIBlwFodHRwczovL3d3dy5vd2Vuc291bmRzdW50aW1lcy5jb20vbmV3cy9sb2NhbC1uZXdzL2JydWNlLXBvd2VyLWlua3Mtc3RlYW0tZ2VuZXJhdG9yLWRlYWwtZm9yLXVuaXRzLTMtYW5kLTQvd2NtL2IwMmVkMWEzLTBlZGUtNDQ0Ni1iZjdiLWQ0MDdkMjUyN2FkNC9hbXAv?hl=en-IN&gl=IN&ceid=IN%3Aen,power units, 
How Hard Is It to Build A Virtual Power Plant Anyway?,https://news.google.com/articles/CBMif2h0dHBzOi8vd3d3LnV0aWxpdHlwcm9kdWN0cy5jb20vdHJhbnNtaXNzaW9uLWRpc3RyaWJ1dGlvbi9hcnRpY2xlLzE0MjAzNDg0L2hvdy1oYXJkLWlzLWl0LXRvLWJ1aWxkLWEtdmlydHVhbC1wb3dlci1wbGFudC1hbnl3YXnSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Will bring BJP to power again with 130+ seats: Karnataka CM Yediyurappa,https://news.google.com/articles/CAIiEP7CTnQF5RRhnLljhmwqQZ4qGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUigQFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvY2l0aWVzL2JhbmdhbG9yZS93aWxsLWJyaW5nLWJqcC10by1wb3dlci1hZ2Fpbi13aXRoLTEzMC1zZWF0cy1rYXJuYXRha2EtY20teWVkaXl1cmFwcGEtNzM4MzM4My_SAQA&hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Engie to build 1.5GW of wind-solar hybrid projects in Chile,https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LndpbmRwb3dlcm1vbnRobHkuY29tL2FydGljbGUvMTcyMTI3Mi9lbmdpZS1idWlsZC0xNWd3LXdpbmQtc29sYXItaHlicmlkLXByb2plY3RzLWNoaWxl0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
F1 POWER RANKINGS: Who’s top of the leaderboard after the Styrian Grand Prix?,https://news.google.com/articles/CBMikQFodHRwczovL3d3dy5mb3JtdWxhMS5jb20vZW4vbGF0ZXN0L2FydGljbGUuZjEtcG93ZXItcmFua2luZ3Mtd2hvcy10b3Atb2YtdGhlLWxlYWRlcmJvYXJkLWFmdGVyLXRoZS1zdHlyaWFuLWdyYW5kLXByaXguMkNyZUpzVWo2QmpEUlhwTHpDZGw5SC5odG1s0gGRAWh0dHBzOi8vYW1wLmZvcm11bGExLmNvbS9lbi9sYXRlc3QvYXJ0aWNsZS5mMS1wb3dlci1yYW5raW5ncy13aG9zLXRvcC1vZi10aGUtbGVhZGVyYm9hcmQtYWZ0ZXItdGhlLXN0eXJpYW4tZ3JhbmQtcHJpeC4yQ3JlSnNVajZCakRSWHBMekNkbDlILmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Ascendas to invest ₹1 200 cr in phase 1 of data centre campus,https://news.google.com/articles/CAIiECLKNzhMX65h_MaWBrQ8igsqFggEKg4IACoGCAowxLQ_MNevCDCkoh8?uo=CAUib2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvbmV3cy9hc2NlbmRhcy1pbmRpYS10cnVzdC10by1idWlsZC1kYXRhLWNlbnRyZXMtaW4taW5kaWEtMTE2MjU0NTc5NjE4OTMuaHRtbNIBAA&hl=en-IN&gl=IN&ceid=IN%3Aen,power rising demand, 
Alpine nimbyism freezes Swiss green energy dreams - Expat Guide to Switzerland,https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LmV4cGF0aWNhLmNvbS9jaC9wb2xpdGljcy9zdy1hbHBpbmUtbmltYnlpc20tZnJlZXplcy1zd2lzcy1ncmVlbi1lbmVyZ3ktZHJlYW1zLTIxNTc2My_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Yamuna Authority to Set Up 3 Power Stations for Jewar Airport  Nearby Areas,https://news.google.com/articles/CAIiED7agaagvG0kiDw-aasp-20qGQgEKhAIACoHCAow5qqNCzD4q58DMPbXpwY?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Energy parks tipped to emerge in Ireland - Out-Law.com,https://news.google.com/articles/CBMiRmh0dHBzOi8vd3d3LnBpbnNlbnRtYXNvbnMuY29tL291dC1sYXcvbmV3cy9lbmVyZ3ktcGFya3MtdGlwcGVkLWlyZWxhbmTSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Intel warns of protests  security beefed up at Nagarjuna Sagar dam  power plant,https://news.google.com/articles/CAIiEMId6w7RzC23b3UkVrioMBoqMwgEKioIACIQPSvIX7PQBUYB-7zcAplw6CoUCAoiED0ryF-z0AVGAfu83AKZcOgw-4LSBg?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Local Leaders Hear Plans for New Nuclear Power Plant in Wyoming,https://news.google.com/articles/CBMiXmh0dHBzOi8vd3d3LnN3ZWV0d2F0ZXJub3cuY29tL2xvY2FsLWxlYWRlcnMtaGVhci1wbGFucy1mb3ItbmV3LW51Y2xlYXItcG93ZXItcGxhbnQtaW4td3lvbWluZy_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Porsche Recalls Taycan EV for Total Loss of Power,https://news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LmNhcmFuZGRyaXZlci5jb20vbmV3cy9hMzY5MDQ3NTEvcG9yc2NoZS10YXljYW4tcmVjYWxsLWFubm91bmNlZC1wb3dlci1sb3NzL9IBWWh0dHBzOi8vd3d3LmNhcmFuZGRyaXZlci5jb20vbmV3cy9hbXAzNjkwNDc1MS9wb3JzY2hlLXRheWNhbi1yZWNhbGwtYW5ub3VuY2VkLXBvd2VyLWxvc3Mv?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Another Tragedy Raises Ire at Hydropower Projects in Himachal Pradesh,https://news.google.com/articles/CAIiENkikmOFvEJJrkWLZXyWrqwqGQgEKhAIACoHCAowkcKdCzCizLUDMMuU5wY?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
PROJECTS: Amazon commissions its first on-site solar power plant in MENA in the UAE,https://news.google.com/articles/CBMikwFodHRwczovL3d3dy56YXd5YS5jb20vbWVuYS9lbi9wcm9qZWN0cy9zdG9yeS9QUk9KRUNUU19BbWF6b25fY29tbWlzc2lvbnNfaXRzX2ZpcnN0X29uc2l0ZV9zb2xhcl9wb3dlcl9wbGFudF9pbl9NRU5BX2luX3RoZV9VQUUtWkFXWUEyMDIxMDYyOTExMjI0MC_SATxodHRwczovL3d3dy56YXd5YS5jb20vbWVuYS9lbi9zdG9yeS9hbXAvWkFXWUEyMDIxMDYyOTExMjI0MC8?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Frequent power cuts  ‘busy’ helplines leave Chandigarh residents in lurch,https://news.google.com/articles/CAIiEPI7Zbm4qkpqGkqaAHXH9bIqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUigwFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvY2l0aWVzL2NoYW5kaWdhcmgvZnJlcXVlbnQtcG93ZXItY3V0cy1idXN5LWhlbHBsaW5lcy1sZWF2ZS1jaGFuZGlnYXJoLXJlc2lkZW50cy1pbi1sdXJjaC03Mzg2Nzc5L9IBAA&hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Euro 2020: Gareth Southgate warns of power of Denmark’s ’emotional wave’,https://news.google.com/articles/CBMif2h0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9zcG9ydHMvZm9vdGJhbGwvZXVyby0yMDIwLWdhcmV0aC1zb3V0aGdhdGUtd2FybnMtb2YtcG93ZXItb2YtZGVubWFya3MtZW1vdGlvbmFsLXdhdmUtNzM4OTU0OS_SAYQBaHR0cHM6Ly9pbmRpYW5leHByZXNzLmNvbS9hcnRpY2xlL3Nwb3J0cy9mb290YmFsbC9ldXJvLTIwMjAtZ2FyZXRoLXNvdXRoZ2F0ZS13YXJucy1vZi1wb3dlci1vZi1kZW5tYXJrcy1lbW90aW9uYWwtd2F2ZS03Mzg5NTQ5L2xpdGUv?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
Revel unveils electric vehicle fast charging superhub with 25 chargers in Brooklyn,https://news.google.com/articles/CAIiELJHU9i4gBqaXBS7dEM-5REqFAgEKg0IACoGCAowlIEBMLEXMOc_?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
WHAUP to build P2P energy site in Rayong,https://news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LmJhbmdrb2twb3N0LmNvbS9idXNpbmVzcy8yMTQxMjg3L3doYXVwLXRvLWJ1aWxkLXAycC1lbmVyZ3ktc2l0ZS1pbi1yYXlvbmfSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,power, 
